market,latitude,longitude,year,month,temperature_mean,rainfall_monthly,humidity_mean
Agartala,23.84,91.28,2021,9,27.82,9.34,88.4
Agartala,23.84,91.28,2021,10,26.76,5.62,84.64
Agartala,23.84,91.28,2021,11,21.49,0.52,80.71
Agartala,23.84,91.28,2021,12,18.8,3.38,81.29
Agartala,23.84,91.28,2022,1,17.56,0.72,76.1
Agartala,23.84,91.28,2022,2,18.7,1.45,66.36
Agartala,23.84,91.28,2022,3,26.23,0.96,54.33
Agartala,23.84,91.28,2022,4,29.79,3.39,66.28
Agartala,23.84,91.28,2022,5,28.66,16.89,79.25
Agartala,23.84,91.28,2022,6,27.6,17.64,89.97
Agartala,23.84,91.28,2022,7,28.24,6.96,87.61
Agartala,23.84,91.28,2022,8,28.4,9.02,87.14
Agartala,23.84,91.28,2022,9,27.81,11.62,87.8
Agartala,23.84,91.28,2022,10,26.28,9.04,85.39
Agartala,23.84,91.28,2022,11,22.7,0.04,78.87
Agartala,23.84,91.28,2022,12,19.41,0.2,74.08
Agartala,23.84,91.28,2023,1,18.01,0.05,69.29
Agartala,23.84,91.28,2023,2,21.82,0.09,55.47
Agartala,23.84,91.28,2023,3,25.81,3.97,57.35
Agartala,23.84,91.28,2023,4,28.81,3.96,62.89
Agartala,23.84,91.28,2023,5,29.64,6.44,67.46
Agartala,23.84,91.28,2023,6,28.89,18.02,84.74
Agartala,23.84,91.28,2023,7,28.85,9.72,87.77
Agartala,23.84,91.28,2023,8,28.33,14.81,89.2
Agartala,23.84,91.28,2023,9,28.49,9.34,87.62
Agartala,23.84,91.28,2023,10,26.49,6.9,82.69
Agartala,23.84,91.28,2023,11,23.3,4.11,79.33
Agartala,23.84,91.28,2023,12,19.94,1.63,79.15
Agartala,23.84,91.28,2024,1,16.46,0.14,75.6
Agartala,23.84,91.28,2024,2,20.57,1.49,63.63
Agartala,23.84,91.28,2024,3,24.96,3.72,59.4
Agartala,23.84,91.28,2024,4,29.96,2.95,64.39
Agartala,23.84,91.28,2024,5,29.44,16.04,76.97
Agartala,23.84,91.28,2024,6,28.87,20.85,89.27
Agartala,23.84,91.28,2024,7,28.78,10.32,89.27
Agartala,23.84,91.28,2024,8,27.81,22.92,90.83
Agartala,23.84,91.28,2024,9,28.46,9.22,87.98
Agartala,23.84,91.28,2024,10,27.01,15.89,86.07
Agartala,23.84,91.28,2024,11,22.78,0.86,80.6
Agartala,23.84,91.28,2024,12,18.02,0.06,78.22
Agartala,23.84,91.28,2025,1,18.16,0.03,73.35
Agartala,23.84,91.28,2025,2,21.52,0.06,59.47
Agartala,23.84,91.28,2025,3,26.53,0.34,54.74
Agartala,23.84,91.28,2025,4,28.83,6.59,66.29
Agartala,23.84,91.28,2025,5,28.98,18.36,79.26
Agartala,23.84,91.28,2025,6,28.39,13.55,89.03
Agartala,23.84,91.28,2025,7,28.24,15.51,89.61
Agartala,23.84,91.28,2025,8,27.86,13.24,90.0
Agartala,23.84,91.28,2025,9,27.94,11.4,89.04
Agartala,23.84,91.28,2025,10,27.03,6.4,83.59
Agartala,23.84,91.28,2025,11,21.96,1.2,80.92
Agartala,23.84,91.28,2025,12,18.24,0.01,76.4
Agra,27.18,78.02,1994,1,17.17,0.57,41.31
Agra,27.18,78.02,1994,2,18.13,0.38,33.22
Agra,27.18,78.02,1994,3,27.0,0.0,17.06
Agra,27.18,78.02,1994,4,30.24,0.52,20.83
Agra,27.18,78.02,1994,5,37.06,0.11,15.27
Agra,27.18,78.02,1994,6,37.9,3.57,27.93
Agra,27.18,78.02,1994,7,30.45,10.75,75.03
Agra,27.18,78.02,1994,8,28.55,6.3,85.27
Agra,27.18,78.02,1994,9,27.09,0.81,72.96
